Player_ID,Team_Name,Player_Name,apps,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,rating
256419,Scotland,Ché Adams,46,12,2,1.5265151515151514,0.7272727272727273,0.7424242424242425,0.696969696969697,0.303030303030303,1.1161616161616161,1.8674242424242424,6.4585606060606064
258840,Turkiye,Ugurcan Çakir,48,0,0,,0.08,0.27,0.6911111111111111,,,,6.824977777777778
259042,Spain,Borja Iglesias,54,16,3,1.4551892551892553,0.39670329670329674,0.28681318681318674,0.7747252747252746,0.5065934065934066,0.6656898656898657,1.3741147741147743,6.348847374847375
260770,Germany,Alexander Nübel,49,0,2,,0.08957219251336895,,0.23930481283422456,,,0.0588235294117647,6.609131016042781
260819,Qatar,Akram Afif,7,5,0,,2.0,,2.0,,1.0,2.0,6.38
261021,Germany,Nadiem Amiri,34,15,2,2.0576923076923075,2.423076923076923,0.9615384615384616,1.5,0.1153846153846153,1.0,1.3461538461538463,6.929615384615383
261143,Curacao,Juninho Bacuna,34,1,2,1.054131054131054,0.6794871794871795,1.3931623931623933,1.0455840455840457,,1.5612535612535614,1.5156695156695157,6.653276353276354
261212,Spain,Dani Olmo,56,9,9,1.807070707070707,1.1962121212121213,0.594949494949495,1.1863636363636365,0.1818181818181818,0.998989898989899,1.4303030303030304,6.675689393939394
261474,Croatia,Martin Erlic,27,6,1,0.9375,0.625,,0.375,,0.125,0.375,7.8375
262702,Uzbekistan,Dostonbek Khamdamov,2,0,0,,,,,,,,
262707,Uzbekistan,Eldor Shomurodov,45,23,5,2.794117647058824,1.2352941176470589,0.8823529411764706,0.5294117647058824,0.2352941176470588,1.1764705882352942,2.3823529411764706,7.155
262854,South Korea,Hwang Hee-Chan,36,4,3,1.8653846153846154,0.7884615384615384,0.5598290598290597,1.3418803418803418,0.3461538461538461,0.4230769230769231,1.455128205128205,6.33405982905983
262856,Austria,Xaver Schlager,38,3,1,0.6038461538461539,0.5038461538461538,0.5230769230769231,1.0076923076923077,0.0769230769230769,1.0,1.0307692307692309,6.434051282051281
271592,USA,Cristian Roldan,23,4,1,1.833333333333333,0.8333333333333333,0.875,1.4166666666666667,,1.1666666666666667,1.5833333333333335,7.097083333333332
273229,Canada,Cyle Larin,34,3,1,1.3335714285714286,0.7007142857142857,0.40357142857142864,0.6723214285714286,0.38035714285714284,1.3285714285714285,2.3223214285714286,6.427828571428572
274624,Uzbekistan,Otabek Shukurov,3,0,0,,,,,,,,
275858,USA,Álex Zendejas,10,3,0,,,,,,,,
276366,Spain,David Raya,53,0,0,,0.081081081081081,0.027027027027027,0.3783783783783784,,,0.027027027027027,6.900250965250965
277269,Ivory Coast,Franck Kessie,48,8,1,1.6,1.6,0.6,1.1,0.2,1.0,1.2,6.5920000000000005
279423,Netherlands,Frenkie de Jong,48,1,9,0.27785714285714286,1.1625,0.5366071428571428,0.9842857142857143,0.08,0.2969047619047619,0.5854761904761905,6.9746910714285715
280210,Scotland,Jack Hendry,34,1,1,,1.0,,2.0,,,1.0,7.0
280768,Curacao,Kenji Gorré,8,2,0,,,,,,,,
280961,Uzbekistan,Rustam Ashurmatov,4,0,0,,,,,,,,
280972,Panama,Amir Murillo,51,4,2,0.7328869047619047,0.8177083333333333,0.7589285714285714,1.148809523809524,0.1448412698412698,1.0319940476190477,1.0848214285714286,6.540312500000001
281129,Qatar,Almoez Ali,6,1,0,,,,,,,,
282348,Sweden,Mattias Svanberg,29,4,1,0.9375,0.25,0.125,0.6666666666666667,0.0416666666666666,0.3333333333333333,1.0416666666666667,6.405833333333334
282871,Paraguay,Fabián Balbuena,27,1,0,0.738095238095238,1.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,,0.38095238095238093,6.6000000000000005
283323,Germany,Joshua Kimmich,63,4,14,0.9529177718832892,2.51236074270557,0.3525198938992042,1.397135278514589,0.2,0.3283819628647215,0.7662599469496022,7.32186100795756
288892,Algeria,Ramy Bensebaini,47,7,2,0.5607142857142857,0.30932539682539684,0.3212301587301587,1.7099206349206348,0.1488095238095238,0.31322751322751324,0.8293650793650793,6.86078373015873
290850,Curacao,Brandley Kuwas,39,5,4,1.25,1.125,0.71875,1.40625,0.25,2.03125,2.0625,6.470312500000001
291937,Austria,Florian Grillitsch,45,3,3,0.725,0.375,0.6,0.8625,0.05,0.8,0.5625,6.616875
291944,Scotland,Anthony Ralston,22,1,0,0.2,0.3333333333333333,1.0,0.26666666666666666,,1.0833333333333333,0.26666666666666666,6.631555555555555
294193,Spain,Fabián Ruiz,43,5,7,2.0392063492063492,1.193174603174603,0.15502645502645498,0.42566137566137563,0.401984126984127,0.5988095238095237,0.9712698412698412,6.763740740740741
295169,Iraq,Aymen Hussein,6,3,0,,,,,,,,
295226,Jordan,Mahmoud Al Mardi,6,0,0,,,,,,,,
296215,Haiti,Duckens Nazon,11,4,0,,,,,,,,
296240,DR Congo,Yoane Wissa,38,7,2,1.0614035087719298,0.23026315789473678,0.1513157894736842,0.3128654970760234,0.7090643274853802,0.2997076023391813,0.6096491228070176,6.275511695906434
296319,Senegal,Moussa Niakhaté,57,1,2,0.2847222222222222,0.38541666666666663,0.13368055555555555,0.7592592592592592,,0.11342592592592589,0.49189814814814814,6.905983796296296
296322,France,Marcus Thuram,51,19,7,3.346264367816092,0.9444444444444443,0.6213282247765006,1.228448275862069,0.5613026819923371,1.064176245210728,2.1561302681992336,6.691422413793103
296363,Portugal,Nélson Semedo,47,1,5,0.809116809116809,1.0142450142450141,0.8696581196581197,1.0384615384615385,0.18055555555555555,0.6032763532763533,1.3675213675213673,6.739358974358974
296684,Cape Verde,Jamiro Monteiro,33,4,3,0.9523809523809524,0.6666666666666666,0.1428571428571428,1.9047619047619049,0.1904761904761904,0.7619047619047619,1.119047619047619,6.6223809523809525
296768,Germany,Waldemar Anton,54,3,0,0.5361111111111111,0.2537037037037037,0.23912037037037037,0.4611111111111111,,0.2704861111111111,0.8154166666666667,6.730613888888888
297390,Switzerland,Manuel Akanji,59,3,0,0.686060606060606,0.7946969696969697,0.09898989898989896,0.4262626262626263,0.0606060606060606,0.38863636363636367,0.4666666666666667,6.7953090909090905
297403,Scotland,Kieran Tierney,31,2,1,0.38888888888888884,0.8611111111111112,0.46296296296296297,0.5,0.5,0.8611111111111112,0.5555555555555556,6.499259259259259
298415,Iran,Maximilian Entrup,5,0,0,,,,,,,,
298446,Austria,Philipp Lienhart,46,2,0,0.38008658008658003,0.22251082251082246,0.15,0.42770562770562764,0.1,0.1,0.38008658008658003,6.630938311688311
298687,USA,Auston Trusty,23,2,0,0.5714285714285714,,,0.2857142857142857,,0.1428571428571428,0.7142857142857143,7.132857142857143
298694,Ecuador,Pervis Estupiñán,35,1,1,0.4736842105263157,0.6842105263157895,0.1052631578947368,0.4210526315789473,0.2631578947368421,0.2105263157894736,1.0,6.387368421052631
298741,Australia,Awer Mabil,31,3,0,,,,,,,,
298839,Spain,Mikel Oyarzabal,48,27,8,3.496732026143791,1.3562091503267972,1.0294117647058822,0.7009803921568627,0.27450980392156854,1.3202614379084967,1.9934640522875817,7.17702614379085
299254,Sweden,Alexander Isak,29,6,3,2.05,0.7857142857142857,0.6785714285714286,0.23809523809523805,1.1785714285714286,1.0642857142857143,1.3660714285714286,7.010142857142857
