Player_ID,Player_Name,apps,goalOwn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame
358796,Ahmed Reda Tagnaouti,22,0.0,,,,,,,
358868,José Luis Rodríguez,31,0.0,1.0,,,,1.0,1.0,
361330,Reece James,53,0.0,1.172126436781609,1.1969827586206896,0.8910919540229885,0.3517241379310344,0.7617816091954023,0.3341235632183908,0.28714080459770114
361402,George Bello,11,0.0,,,,,,,
361707,Altay Bayindir,8,0.0,,,,,1.0833333333333335,0.1666666666666666,
361709,Yunus Akgün,46,0.0,0.5972222222222222,0.3412698412698412,0.5317460317460317,,0.5892857142857142,0.8187830687830688,0.1111111111111111
361732,Thiago Almada,53,0.0,0.8227513227513228,0.2962962962962963,0.5264550264550264,0.037037037037037,0.1825396825396825,0.8359788359788359,0.1084656084656084
361792,Michael Woud,4,0.0,,,,,,,
361797,Montassar Talbi,48,0.0,0.7528735632183908,0.882183908045977,0.603448275862069,0.3793103448275862,5.471264367816093,0.6206896551724138,1.3591954022988506
361822,William Saliba,55,0.0,1.1447580645161293,0.666263440860215,1.1565860215053765,0.3616935483870968,3.9017473118279566,0.22526881720430106,0.27311827956989243
361838,Michal Sadílek,17,0.0,0.875,0.8125,1.0,0.125,0.9375,0.8125,0.125
361945,Gabriel Ávalos,28,0.0,,,,,,,
361964,Jovane Cabral,36,0.0,1.6481481481481484,0.6666666666666666,1.5925925925925926,,0.6851851851851851,0.6296296296296295,0.037037037037037
362219,Djed Spence,50,0.0,1.5733333333333335,0.6,0.7666666666666666,0.15000000000000002,1.6083333333333334,0.5166666666666666,0.44999999999999996
362352,Pedro Porro,55,0.0,2.0070588235294116,1.0312418300653594,0.9549019607843137,0.28823529411764703,2.242222222222222,1.1524183006535949,0.5210457516339869
362431,João Félix,43,0.0,0.2,0.2,0.6,,0.4,0.4,
362434,Nayef Aguerd,38,0.0,1.3258928571428572,1.4196428571428572,1.1708333333333334,1.1422619047619047,4.2775,0.4357142857142857,0.5263392857142857
362501,Cucho Hernández,40,0.0,0.7232142857142857,0.28125,0.5580357142857142,,0.6049107142857142,0.3125,0.0625
362555,Merih Demiral,32,0.0,0.9166666666666667,1.1666666666666667,1.0,1.8333333333333333,6.75,0.75,1.1666666666666665
362556,Éderson Silva,43,0.0,1.8777777777777775,1.1333333333333333,1.1222222222222222,0.1111111111111111,1.2944444444444445,0.8407407407407407,0.22777777777777775
362758,Matheus Cunha,47,0.0,1.590909090909091,0.6363636363636364,0.9090909090909092,,0.8333333333333333,0.7727272727272727,0.5454545454545454
362786,Paik Seung-Ho,47,0.0,1.372093023255814,0.6686046511627908,1.0232558139534884,,2.6511627906976747,0.627906976744186,0.2558139534883721
362815,Viktor Gyökeres,59,0.0,0.13568376068376065,0.2015669515669515,0.8632478632478633,,0.530982905982906,0.20868945868945868,0.27777777777777773
362824,Morgan Rogers,67,0.0,0.5478228228228228,0.3976726726726727,1.2588588588588587,0.1333333333333333,0.5271771771771773,0.6774774774774774,0.09091591591591586
363069,Joe Scally,45,1.0,1.9166666666666665,0.5989583333333333,0.6822916666666666,0.15625,1.8854166666666665,0.46354166666666663,0.22916666666666666
363298,John Souttar,25,0.0,0.43333333333333335,1.1,0.8,0.7999999999999999,4.666666666666667,0.5,1.4333333333333336
363496,Marc Cucurella,64,0.0,1.5575708061002178,1.0626797385620914,1.4076252723311544,0.5270588235294118,2.0950980392156864,0.8106209150326796,0.499400871459695
363535,Wilson Isidor,39,0.0,0.671875,0.03125,1.71875,,0.46875,0.578125,0.03125
363653,Jhon Lucumí,60,0.0,1.5379310344827586,1.2517241379310344,0.7965517241379311,0.6948275862068966,4.391379310344828,0.3413793103448276,0.5275862068965518
363661,Mert Müldür,44,0.0,1.75,1.03125,0.375,0.33333333333333326,1.7604166666666665,0.9375000000000001,0.4166666666666666
363666,Nikola Katic,32,0.0,3.192307692307692,1.7564102564102564,2.192307692307692,1.0384615384615383,11.807692307692307,1.205128205128205,1.0897435897435896
363683,Ivan Sunjic,24,0.0,1.4642857142857144,0.6785714285714286,1.5952380952380951,,2.357142857142857,0.8571428571428571,0.7142857142857143
363718,Edo Kayembe,45,0.0,1.3513513513513513,0.2972972972972973,1.3273273273273274,0.027027027027027,0.9594594594594594,0.2162162162162162,0.1351351351351351
363731,Jaroslav Zeleny,13,0.0,2.0,3.0,3.0,,5.0,1.0,2.0
363884,Ryan Gravenberch,60,0.0,1.3038720538720538,1.5909090909090908,0.7609427609427609,0.0732323232323232,0.9438131313131313,0.6826599326599326,0.2828282828282828
364336,Torbjørn Heggem,45,0.0,1.3117283950617284,1.0347222222222223,0.7993827160493826,0.44753086419753085,5.475694444444445,0.5277777777777778,0.30709876543209874
364624,Scott McKenna,47,0.0,0.8500000000000001,0.6,0.8,0.35,5.25,0.3,0.8500000000000001
365244,Tahith Chong,26,0.0,0.3809523809523809,0.238095238095238,0.6428571428571428,,0.3809523809523809,0.5952380952380952,0.0476190476190476
365308,Alexis Saelemaekers,50,0.0,1.3285714285714287,0.6142857142857143,0.5142857142857142,0.0285714285714285,0.47142857142857136,0.7142857142857142,0.1142857142857142
365389,John Yeboah,49,0.0,1.0,1.0,1.0,,,0.6666666666666666,
365402,Jan Paul van Hecke,49,1.0,1.3240740740740742,0.7638888888888888,1.0,0.7638888888888888,4.125,0.5416666666666667,0.6759259259259259
365409,Julián Alvarez,79,0.0,0.814367816091954,0.19003831417624517,0.804022988505747,,0.39080459770114945,0.9626436781609196,
365432,Dominik Kotarski,23,0.0,0.125,,,,1.375,0.125,
366116,Iliman Ndiaye,50,0.0,1.0069444444444444,0.5,0.8854166666666667,,0.59375,0.8385416666666667,0.19791666666666666
367185,Bukayo Saka,54,0.0,0.7730694037145651,0.4952753339850114,0.924535679374389,,0.5705278592375367,0.7841642228739003,0.18279569892473116
367189,Hannes Delcroix,11,0.0,2.0,1.0,,,6.0,,1.0
367780,Lee Kang-In,47,0.0,0.695925925925926,0.10555555555555556,0.4833333333333333,,0.2030864197530864,0.95679012345679,0.037037037037037
367783,Felix Nmecha,51,0.0,1.3151724137931036,0.7327586206896552,0.6731034482758621,,0.825,0.8370689655172413,0.2689655172413793
368091,Eric García,45,0.0,1.7700534759358288,1.2058823529411766,1.1216577540106951,0.4304812834224599,2.1016042780748663,0.6564171122994653,0.1938502673796791
368409,Trincão,60,0.0,1.2566844919786098,0.4237967914438503,0.57174688057041,0.0294117647058823,0.4478609625668449,0.6002673796791443,0.1510695187165775
369430,Enzo Fernández,86,0.0,1.183015873015873,0.4529761904761904,0.9842857142857142,0.11851851851851851,0.5326984126984128,1.01,0.2518518518518518
369525,Ko Itakura,10,0.0,1.3333333333333333,0.5,2.0,0.3333333333333333,3.0,0.3333333333333333,0.6666666666666666
369570,Manu Koné,46,0.0,1.539408866995074,0.694991789819376,1.552134646962233,0.0344827586206896,0.6077586206896552,0.714696223316913,0.12315270935960584
369971,Leo Østigård,40,1.0,0.8,0.6,1.2666666666666666,0.4333333333333333,4.183333333333334,0.2333333333333333,0.9
370255,Junya Ito,23,0.0,2.1666666666666665,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.8333333333333334,
370912,Kim Min-Jae,40,0.0,0.7933333333333333,1.5200000000000002,1.0783333333333334,0.8566666666666666,2.65,0.2875,0.4225
